prompt_idx,pos,input_token,wall_ms,embed_gpu_ms,attention_gpu_ms,router_gpu_ms,experts_gpu_ms,final_gpu_ms,h2d_bytes,d2h_bytes,d2d_bytes,vram_used_bytes
0,22,2924,284.816900,0.054300,29.393200,5.010500,247.668594,2.639900,0,3076,196608,5908201472
0,23,894,243.257800,0.218500,29.487101,5.450700,205.382996,2.637100,0,3076,196608,5908201472
0,24,1467,304.485700,0.040600,29.130899,4.899500,267.715210,2.646700,0,3076,196608,5908201472
0,25,1573,257.876600,0.056400,29.059500,4.995000,221.048798,2.661300,0,3076,196608,5908201472
0,26,476,424.337800,0.038600,29.158899,5.019700,387.443115,2.635600,0,3076,196608,5908201472
0,27,1283,155.784000,0.043500,33.414501,5.195100,114.001099,3.087000,0,3076,196608,5908201472
0,28,279,273.112100,0.056600,32.168400,4.907100,233.111298,2.824500,0,3076,196608,5908201472
0,29,2038,234.693200,0.034300,31.292200,4.866800,195.620300,2.834500,0,3076,196608,5908201472
0,30,2504,151.483000,0.037700,31.150400,4.739400,112.685898,2.826200,0,3076,196608,5908201472
0,31,13,249.540300,0.045400,27.670700,4.635600,214.607697,2.530900,0,3076,196608,5908201472
0,32,3155,290.138500,0.034700,26.796801,4.553900,256.382690,2.330900,0,3076,196608,5908201472
0,33,537,282.378200,0.032900,25.515699,4.290000,250.148102,2.348400,0,3076,196608,5908201472
0,34,2924,140.982200,0.049400,25.568399,3.864100,109.144997,2.314200,0,3076,196608,5908201472
0,35,6042,200.863800,0.033200,21.048500,3.527400,174.327194,1.882200,0,3076,196608,5908201472
0,36,4766,138.337700,0.030500,18.754999,3.527800,114.160301,1.807700,0,3076,196608,5908201472
0,37,279,176.472000,0.032900,18.435101,3.568600,152.645294,1.752600,0,3076,196608,5908201472
0,38,2038,123.829800,0.027700,18.052999,3.130200,100.880699,1.703400,0,3076,196608,5908201472
0,39,13,291.170200,0.027000,18.115801,3.378200,267.894806,1.708100,0,3076,196608,5908201472
0,40,576,303.376000,0.051000,17.982500,3.485800,280.092712,1.712300,0,3076,196608,5908201472
0,41,729,207.213600,0.047100,17.924000,3.196700,184.269394,1.734000,0,3076,196608,5908201472
0,42,1969,243.833800,0.027900,18.209000,3.414800,220.425995,1.714500,0,3076,196608,5908201472
0,43,387,172.971800,0.028000,18.522800,3.584000,149.056702,1.734800,0,3076,196608,5908201472
0,44,6941,369.133800,0.029600,18.915199,4.520300,343.942505,1.685300,0,3076,196608,5908201472
0,45,1565,526.575800,0.030100,19.886000,4.308400,500.105988,2.198800,0,3076,196608,5908201472
0,46,446,637.943500,0.039300,26.775200,4.559200,604.179810,2.335400,0,3076,196608,5908201472
0,47,5788,375.626900,0.068200,29.983000,4.891400,338.094604,2.534500,0,3076,196608,5908201472
0,48,371,223.525500,0.057200,30.892000,4.924900,185.089493,2.508200,0,3076,196608,5908201472
