prompt_idx,pos,input_token,wall_ms,embed_gpu_ms,attention_gpu_ms,router_gpu_ms,experts_gpu_ms,final_gpu_ms,h2d_bytes,d2h_bytes,d2d_bytes,vram_used_bytes
0,34,2924,198.126300,0.091700,24.659700,2.791200,165.245804,4.925500,0,632320,196608,6438780928
0,35,6042,186.451900,0.064300,24.785999,3.063400,153.156494,4.943200,0,632320,196608,6438780928
0,36,4766,195.862200,0.109100,25.076401,3.121300,162.094604,5.053300,0,632320,196608,6438780928
0,37,279,228.241500,0.072600,24.657900,2.884100,195.333801,4.902900,0,632320,196608,6438780928
0,38,2038,175.174800,0.049200,24.707199,2.638100,142.446396,4.945000,0,632320,196608,6438780928
0,39,13,256.032200,0.124400,25.010099,2.627000,222.880707,4.945400,0,632320,196608,6438780928
0,40,576,206.222400,0.069400,25.015800,2.523800,173.335907,4.913600,0,632320,196608,6438780928
0,41,729,167.842100,0.057700,25.374300,2.702300,134.383804,4.938400,0,632320,196608,6438780928
0,42,1969,207.205400,0.058900,25.568899,2.810500,173.342194,4.993600,0,632320,196608,6438780928
0,43,387,154.503300,0.085400,25.580200,2.852800,120.673401,4.949900,0,632320,196608,6438780928
0,44,6941,231.132700,0.063800,25.773701,2.819500,197.097794,4.951200,0,632320,196608,6438780928
0,45,1565,361.300400,0.095800,26.277300,3.015400,326.451508,4.982700,0,632320,196608,6438780928
0,46,446,434.887100,0.090400,26.010201,2.570100,400.792999,4.985900,0,632320,196608,6438780928
0,47,5788,323.247100,0.089700,26.220400,3.036600,288.492310,4.944800,0,632320,196608,6438780928
0,48,371,200.075800,0.082700,26.556499,3.021900,164.982193,4.956100,0,632320,196608,6438780928
0,49,63,291.663300,0.080100,27.020901,3.468600,255.413498,5.252300,0,632320,196608,6438780928
0,50,323,275.790800,0.083500,27.173901,3.629700,239.469299,4.979500,0,632320,196608,6438780928
0,51,1896,258.696300,0.152000,26.985300,2.978600,223.323502,4.900700,0,632320,196608,6438780928
0,52,264,304.977500,0.051800,27.484400,3.329500,268.767090,4.974200,0,632320,196608,6438780928
0,53,3175,216.452800,0.067100,26.792400,2.847500,181.389008,4.992400,0,632320,196608,6438780928
0,54,5733,168.158300,0.121200,27.392500,2.822200,132.545395,4.910300,0,632320,196608,6438780928
